Country,Year,GDP per Capita
Channel Islands,2021,66912.1750054447
Channel Islands,2020,56785.9402392525
Channel Islands,2019,60568.1085272721
Channel Islands,2018,60783.3533081111
Chile,2021,16216.5706467899
Chile,2020,13114.815470545
Chile,2019,14495.716721687
Chile,2018,15659.4808675628
China,2021,12617.5051041181
China,2020,10408.7195541075
China,2019,10143.8602206165
China,2018,9905.40638304527
Colombia,2021,6222.62164397614
Colombia,2020,5339.68711357943
Colombia,2019,6472.54544924705
Colombia,2018,6816.96818309544
Comoros,2021,1584.12450153608
Comoros,2020,1527.16991011916
Comoros,2019,1519.26386436068
Comoros,2018,1540.71132257526
"Congo, Dem. Rep.",2021,558.034077296358
"Congo, Dem. Rep.",2020,507.521230077872
"Congo, Dem. Rep.",2019,557.044161335917
"Congo, Dem. Rep.",2018,528.256019777898
"Congo, Rep.",2021,2516.16255145432
"Congo, Rep.",2020,1993.586671931
"Congo, Rep.",2019,2488.42466724916
"Congo, Rep.",2018,2694.43413191427
Costa Rica,2021,12838.1185358931
Costa Rica,2020,12394.0493969492
Costa Rica,2019,12884.6859951989
Costa Rica,2018,12590.2493781614
Cote d'Ivoire,2021,2455.98127641148
Cote d'Ivoire,2020,2179.72934832935
Cote d'Ivoire,2019,2141.76836170115
Cote d'Ivoire,2018,2130.86619381144
Croatia,2021,17789.9304736722
Croatia,2020,14808.4620188819
Croatia,2019,15563.8167397199
Croatia,2018,15460.4183295843
Cuba,2020,9605.26125067263
Cuba,2019,9232.26115935183
Cuba,2018,8911.46205964193
Curacao,2021,17980.0888397547
Curacao,2020,16356.0933594414
Curacao,2019,19220.6866958303
Curacao,2018,19119.1243941688
Cyprus,2021,33734.29296875
Cyprus,2020,28649.015625
Cyprus,2019,29703.052734375
Cyprus,2018,29599.986328125
Czechia,2021,27696.4619527544
Czechia,2020,23472.8915454417
Czechia,2019,24062.7190013343
Czechia,2018,23705.9329811299
Denmark,2021,69727.9873677012
Denmark,2020,60985.4885601514
Denmark,2019,59404.2663247723
Denmark,2018,61324.7665045565
Djibouti,2021,3019.69343880209
Djibouti,2020,2881.99924450145
Djibouti,2019,2837.17103336917
Djibouti,2018,2718.0853229414
Dominica,2021,8262.65091316727
Dominica,2020,7461.77933220095
Dominica,2019,9009.09011545429
Dominica,2018,8137.56520624242
Dominican Republic,2021,8472.47982000992
Dominican Republic,2020,7162.29175242114
Dominican Republic,2019,8164.22080932117
Dominican Republic,2018,7934.98141208525
Ecuador,2021,6075.8026572556
Ecuador,2020,5463.64509649315
Ecuador,2019,6205.05759479761
Ecuador,2018,6303.91892523596
"Egypt, Arab Rep.",2021,3827.35415374308
"Egypt, Arab Rep.",2020,3511.11381026379
"Egypt, Arab Rep.",2019,2962.98892023003
"Egypt, Arab Rep.",2018,2484.70315630508
El Salvador,2021,4642.60743101342
El Salvador,2020,3997.19279583709
El Salvador,2019,4320.11671534627
El Salvador,2018,4183.54620971358
Equatorial Guinea,2021,6945.63069794539
Equatorial Guinea,2020,5764.05502912947
Equatorial Guinea,2019,6804.14923073888
Equatorial Guinea,2018,8102.47084834031
Estonia,2021,27953.7670230126
Estonia,2020,23933.9939421065
Estonia,2019,24021.2501413306
Estonia,2018,23618.1361254581
Eswatini,2021,3926.48687364215
Eswatini,2020,3442.3216527415
Eswatini,2019,3894.32951592818
Eswatini,2018,3986.10557163026
Ethiopia,2021,910.947840320752
Ethiopia,2020,905.313175805855
Ethiopia,2019,828.70897229725
Ethiopia,2018,747.968143637014
Faroe Islands,2021,68736.505610554
Faroe Islands,2020,62236.0866558197
Faroe Islands,2019,63064.6343127366
Faroe Islands,2018,62524.0387361638
Fiji,2021,4696.17101880318
Fiji,2020,4844.42129036462
Fiji,2019,5950.82868635508
Fiji,2018,6085.41979209299
Finland,2021,53099.1351400148
Finland,2020,48828.6846862799
Finland,2019,48358.1807773701
Finland,2018,49654.2497035329
France,2021,43725.0999521245
France,2020,39169.8606000707
France,2019,40408.2848574751
France,2018,41418.1766484844
French Polynesia,2021,21982.9038942614
French Polynesia,2020,20746.2720428286
French Polynesia,2019,21582.5892046801
French Polynesia,2018,21925.616043938
Gabon,2021,8181.40914134656
Gabon,2020,6605.80346077565
Gabon,2019,7441.1786472281
Gabon,2018,7624.2775233771
"Gambia, The",2021,781.890925169531
"Gambia, The",2020,720.335143352133
"Gambia, The",2019,738.186751987483
"Gambia, The",2018,696.219806960615
Georgia,2021,5083.60695484577
Georgia,2020,4300.85701291207
Georgia,2019,4741.2832715876
Georgia,2018,4804.0546040444
Germany,2021,52265.6541620571
Germany,2020,47379.765194548
Germany,2019,47623.8656074829
Germany,2018,48874.8595028454
Ghana,2021,2445.50081810782
Ghana,2020,2196.54789313621
Ghana,2019,2186.18924111824
Ghana,2018,2196.61290615342
Greece,2021,20654.7001960815
Greece,2020,17886.733165236
Greece,2019,19335.3602002969
Greece,2018,19873.4015238771
Greenland,2021,57116.295770722
Greenland,2020,54693.0766804265
Greenland,2019,53309.2035905065
Greenland,2018,54545.135857765
Grenada,2021,9622.24050459345
Grenada,2020,8968.55890108484
Grenada,2019,10462.7929159533
